n,state
317,362.038672
318,362.038672
319,362.038672
320,362.038672
321,362.038672
322,362.038672
323,362.038672
324,362.038672
325,362.038672
326,362.038672
327,362.038672
328,362.038672
329,362.038672
330,362.038672
331,362.038672
332,362.038672
333,362.038672
334,362.038672
335,362.038672
336,362.038672
337,362.038672
338,362.038672
339,362.038672
340,362.038672
341,362.038672
342,362.038672
343,362.038672
344,362.038672
345,362.038672
346,362.038672
347,362.038672
348,362.038672
349,362.038672
350,362.038672
351,362.038672
352,362.038672
353,362.038672
354,362.038672
355,362.038672
356,362.038672
357,362.038672
358,362.038672
359,362.038672
360,362.038672
361,362.038672
362,362.038672
363,362.038672
364,362.038672
365,362.038672
366,362.038672
367,362.038672
368,362.038672
369,362.038672
370,362.038672
371,362.038672
372,362.038672
373,362.038672
374,362.038672
375,362.038672
376,362.038672
377,362.038672
378,362.038672
379,362.038672
380,362.038672
381,362.038672
382,362.038672
383,362.038672
384,362.038672
385,362.038672
386,362.038672
387,362.038672
388,362.038672
389,362.038672
390,362.038672
391,362.038672
392,362.038672
393,362.038672
394,362.038672
395,362.038672
396,362.038672
397,362.038672
398,362.038672
399,362.038672
400,362.038672
401,362.038672
402,362.038672
403,362.038672
404,362.038672
405,362.038672
406,362.038672
407,362.038672
408,362.038672
409,362.038672
410,362.038672
411,362.038672
412,362.038672
413,362.038672
414,362.038672
415,362.038672
416,362.038672
417,362.038672
418,362.038672
419,362.038672
420,362.038672
421,362.038672
422,362.038672
423,362.038672
424,362.038672
425,362.038672
426,362.038672
427,362.038672
428,362.038672
429,362.038672
430,362.038672
431,362.038672
432,362.038672
433,362.038672
434,362.038672
435,362.038672
436,362.038672
437,362.038672
438,362.038672
439,362.038672
440,362.038672
441,362.038672
442,362.038672
443,362.038672
444,362.038672
445,362.038672
446,362.038672
447,362.038672
448,362.038672
449,362.038672
450,362.038672
451,362.038672
452,362.038672
453,362.038672
454,362.038672
455,362.038672
456,362.038672
457,430.538965
458,430.538965
459,430.538965
460,430.538965
461,512.000000
462,512.000000
463,512.000000
464,512.000000
465,512.000000
466,512.000000
467,512.000000
468,512.000000
469,512.000000
470,512.000000
471,512.000000
472,512.000000
473,512.000000
474,512.000000
475,512.000000
476,512.000000
477,512.000000
478,512.000000
479,512.000000
480,512.000000
481,512.000000
482,512.000000
483,512.000000
484,512.000000
485,512.000000
486,512.000000
487,512.000000
488,512.000000
489,512.000000
490,512.000000
491,512.000000
492,512.000000
493,512.000000
494,512.000000
495,512.000000
496,512.000000
497,512.000000
498,512.000000
499,512.000000
500,512.000000
501,512.000000
502,512.000000
503,512.000000
504,512.000000
505,512.000000
506,512.000000
507,512.000000
508,512.000000
509,512.000000
510,512.000000
511,512.000000
512,512.000000
513,512.000000
514,512.000000
515,512.000000
516,512.000000
517,512.000000
518,512.000000
519,512.000000
520,512.000000
521,512.000000
522,512.000000
523,512.000000
524,512.000000
525,512.000000
526,512.000000
527,512.000000
528,512.000000
529,512.000000
530,512.000000
531,512.000000
532,512.000000
533,512.000000
534,512.000000
535,512.000000
536,512.000000
537,512.000000
538,512.000000
539,512.000000
540,608.874043
541,608.874043
542,608.874043
543,608.874043
544,608.874043
545,608.874043
546,608.874043
547,608.874043
548,608.874043
549,608.874043
550,608.874043
551,608.874043
552,608.874043
553,608.874043
554,608.874043
555,608.874043
556,608.874043
557,608.874043
558,608.874043
559,608.874043
560,608.874043
561,608.874043
562,608.874043
563,608.874043
564,608.874043
565,608.874043
566,608.874043
567,608.874043
568,608.874043
569,608.874043
570,608.874043
571,608.874043
572,608.874043
573,608.874043
574,608.874043
575,608.874043
576,608.874043
577,608.874043
578,608.874043
579,608.874043
580,608.874043
581,608.874043
582,608.874043
583,608.874043
584,608.874043
585,608.874043
586,608.874043
587,608.874043
588,608.874043
589,608.874043
590,608.874043
591,608.874043
592,608.874043
593,608.874043
594,608.874043
595,608.874043
596,608.874043
597,608.874043
598,608.874043
599,608.874043
600,608.874043
601,608.874043
602,608.874043
603,608.874043
604,608.874043
605,608.874043
606,608.874043
607,608.874043
608,608.874043
609,608.874043
610,608.874043
611,608.874043
612,608.874043
613,608.874043
614,608.874043
615,608.874043
616,608.874043
617,608.874043
618,608.874043
619,608.874043
620,608.874043
621,608.874043
622,608.874043
623,608.874043
624,608.874043
625,608.874043
626,608.874043
627,608.874043
628,608.874043
629,608.874043
630,608.874043
631,608.874043
632,608.874043
633,608.874043
634,608.874043
635,608.874043
636,608.874043
637,608.874043
638,608.874043
639,608.874043
640,608.874043
641,608.874043
642,608.874043
643,608.874043
